Year,State,County ID,State / County Name,All Ages SAIPE Poverty Universe,All Ages in Poverty Count,All Ages in Poverty Count LB 90%,All Ages in Poverty Count UB 90%,90% Confidence Interval (All Ages in Poverty Count),All Ages in Poverty Percent,All Ages in Poverty Percent LB 90%,All Ages in Poverty Percent UB 90%,90% Confidence Interval (All Ages in Poverty Percent),Under Age 18 SAIPE Poverty Universe,Under Age 18 in Poverty Count,Under Age 18 in Poverty Count LB 90%,Under Age 18 in Poverty Count UB 90%,90% Confidence Interval (Under Age 18 in Poverty Count),Under Age 18 in Poverty Percent,Under Age 18 in Poverty Percent LB 90%,Under Age 18 in Poverty Percent UB 90%,90% Confidence Interval (Under Age 18 in Poverty Percent),Ages 5 to 17 in Families SAIPE Poverty Universe,Ages 5 to 17 in Families in Poverty Count,Ages 5 to 17 in Families in Poverty Count LB 90%,Ages 5 to 17 in Families in Poverty Count UB 90%,90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count),Ages 5 to 17 in Families in Poverty Percent,Ages 5 to 17 in Families in Poverty Percent LB 90%,Ages 5 to 17 in Families in Poverty Percent UB 90%,90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent),Under Age 5 SAIPE Poverty Universe,Under Age 5 in Poverty Count,Under Age 5 in Poverty Count LB 90%,Under Age 5 in Poverty Count UB 90%,90% Confidence Interval (Under Age 5 in Poverty Count),Under Age 5 in Poverty Percent,Under Age 5 in Poverty Percent LB 90%,Under Age 5 in Poverty Percent UB 90%,90% Confidence Interval (Under Age 5 in Poverty Percent),Median Household Income in Dollars,Median Household Income in Dollars LB 90%,Median Household Income in Dollars UB 90%,90% Confidence Interval (Median Household Income in Dollars)
2012,39,39171,Williams County (OH),"36,430","5,068","4,286","5,850","4,286 to 5,850",13.9,11.8,16,11.8 to 16.0,"8,464","1,685","1,366","2,004","1,366 to 2,004",19.9,16.1,23.7,16.1 to 23.7,"6,362","1,116",883,"1,349","883 to 1,349",17.5,13.8,21.2,13.8 to 21.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$42,418 ","$38,871 ","$45,965 ","$38,871 to $45,965"
2011,39,39171,Williams County (OH),"36,529","4,569","3,747","5,391","3,747 to 5,391",12.5,10.2,14.8,10.2 to 14.8,"8,550","1,598","1,257","1,939","1,257 to 1,939",18.7,14.7,22.7,14.7 to 22.7,"6,379","1,067",818,"1,316","818 to 1,316",16.7,12.8,20.6,12.8 to 20.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$40,856 ","$38,465 ","$43,247 ","$38,465 to $43,247"
2010,39,39171,Williams County (OH),"36,465","4,461","3,580","5,342","3,580 to 5,342",12.2,9.8,14.6,9.8 to 14.6,"8,656","1,658","1,294","2,022","1,294 to 2,022",19.2,15,23.4,15.0 to 23.4,"6,401","1,121",874,"1,368","874 to 1,368",17.5,13.6,21.4,13.6 to 21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$41,791 ","$38,588 ","$44,994 ","$38,588 to $44,994"
2009,39,39171,Williams County (OH),"36,616","4,418","3,670","5,166","3,670 to 5,166",12.1,10,14.1,10.0 to 14.1,"8,507","1,495","1,218","1,772","1,218 to 1,772",17.6,14.3,20.8,14.3 to 20.8,"6,219",969,783,"1,155","783 to 1,155",15.6,12.6,18.6,12.6 to 18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$41,079 ","$38,094 ","$44,064 ","$38,094 to $44,064"
2008,39,39171,Williams County (OH),"36,965","3,602","2,982","4,223","2,982 to 4,223",9.7,8.1,11.4,8.1 to 11.4,"8,496","1,135",905,"1,365","905 to 1,365",13.4,10.7,16.1,10.7 to 16.1,"6,214",686,532,840,532 to 840,11,8.6,13.5,8.6 to 13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$46,904 ","$43,535 ","$50,272 ","$43,535 to $50,272"
2007,39,39171,Williams County (OH),"37,147","3,300","2,630","3,970","2,630 to 3,970",8.9,7.1,10.7,7.1 to 10.7,"8,637","1,041",802,"1,280","802 to 1,280",12.1,9.3,14.8,9.3 to 14.8,"6,376",657,493,821,493 to 821,10.3,7.7,12.9,7.7 to 12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$45,377 ","$42,244 ","$48,511 ","$42,244 to $48,511"
2006,39,39171,Williams County (OH),"37,470","3,635","2,957","4,314","2,957 to 4,314",9.7,7.9,11.5,7.9 to 11.5,"8,907","1,237","1,000","1,474","1,000 to 1,474",13.9,11.2,16.5,11.2 to 16.5,"6,568",745,587,903,587 to 903,11.3,8.9,13.7,8.9 to 13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$42,827 ","$39,804 ","$45,849 ","$39,804 to $45,849"
2005,39,39171,Williams County (OH),"37,409","3,444","2,806","4,081","2,806 to 4,081",9.2,7.5,10.9,7.5 to 10.9,"8,912","1,150",903,"1,398","903 to 1,398",12.9,10.1,15.7,10.1 to 15.7,"6,673",727,560,894,560 to 894,10.9,8.4,13.4,8.4 to 13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$43,189 ","$40,562 ","$45,816 ","$40,562 to $45,816"
2004,39,39171,Williams County (OH),"37,788","3,119","2,382","3,856","2,382 to 3,856",8.3,6.3,10.2,6.3 to 10.2,"9,055","1,024",747,"1,300","747 to 1,300",11.3,8.2,14.4,8.2 to 14.4,"6,718",660,455,865,455 to 865,9.8,6.8,12.9,6.8 to 12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$41,939 ","$39,341 ","$44,709 ","$39,341 to $44,709"
2003,39,39171,Williams County (OH),"37,958","2,894","2,220","3,568","2,220 to 3,568",7.6,5.8,9.4,5.8 to 9.4,"9,107",989,729,"1,249","729 to 1,249",10.9,8,13.7,8.0 to 13.7,"6,841",607,427,787,427 to 787,8.9,6.2,11.5,6.2 to 11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$40,623 ","$38,115 ","$43,297 ","$38,115 to $43,297"
2002,39,39171,Williams County (OH),"37,871","2,833","2,178","3,488","2,178 to 3,488",7.5,5.8,9.2,5.8 to 9.2,"9,268",832,614,"1,050","614 to 1,050",9,6.6,11.3,6.6 to 11.3,"6,938",539,377,701,377 to 701,7.8,5.4,10.1,5.4 to 10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$40,217 ","$37,507 ","$43,122 ","$37,507 to $43,122"
2019,39,39173,Wood County (OH),"123,859","13,819","12,326","15,312","12,326 to 15,312",11.2,10,12.4,10.0 to 12.4,"26,000","2,545","1,931","3,159","1,931 to 3,159",9.8,7.4,12.2,7.4 to 12.2,"19,149","1,640","1,167","2,113","1,167 to 2,113",8.6,6.1,11.1,6.1 to 11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$64,723 ","$60,893 ","$68,553 ","$60,893 to $68,553"
2018,39,39173,Wood County (OH),"123,556","14,733","13,143","16,323","13,143 to 16,323",11.9,10.6,13.2,10.6 to 13.2,"26,074","2,845","2,339","3,351","2,339 to 3,351",10.9,9,12.8,9.0 to 12.8,"19,081","1,732","1,342","2,122","1,342 to 2,122",9.1,7.1,11.1,7.1 to 11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$64,282 ","$59,977 ","$68,587 ","$59,977 to $68,587"
2017,39,39173,Wood County (OH),"123,030","13,328","11,547","15,109","11,547 to 15,109",10.8,9.4,12.2,9.4 to 12.2,"25,909","2,468","1,952","2,984","1,952 to 2,984",9.5,7.5,11.5,7.5 to 11.5,"19,046","1,730","1,337","2,123","1,337 to 2,123",9.1,7,11.2,7.0 to 11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$61,774 ","$57,085 ","$66,463 ","$57,085 to $66,463"
2016,39,39173,Wood County (OH),"123,020","14,060","12,238","15,882","12,238 to 15,882",11.4,9.9,12.9,9.9 to 12.9,"26,095","2,833","2,252","3,414","2,252 to 3,414",10.9,8.7,13.1,8.7 to 13.1,"19,132","1,935","1,519","2,351","1,519 to 2,351",10.1,7.9,12.3,7.9 to 12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$60,347 ","$57,382 ","$63,312 ","$57,382 to $63,312"
2015,39,39173,Wood County (OH),"122,715","14,385","12,718","16,052","12,718 to 16,052",11.7,10.3,13.1,10.3 to 13.1,"26,303","2,856","2,290","3,422","2,290 to 3,422",10.9,8.7,13.1,8.7 to 13.1,"19,258","1,884","1,460","2,308","1,460 to 2,308",9.8,7.6,12,7.6 to 12.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$57,390 ","$54,980 ","$59,800 ","$54,980 to $59,800"
2014,39,39173,Wood County (OH),"122,167","16,448","14,454","18,442","14,454 to 18,442",13.5,11.9,15.1,11.9 to 15.1,"26,325","3,245","2,605","3,885","2,605 to 3,885",12.3,9.9,14.7,9.9 to 14.7,"19,360","2,174","1,721","2,627","1,721 to 2,627",11.2,8.9,13.5,8.9 to 13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$54,996 ","$52,010 ","$57,982 ","$52,010 to $57,982"
2013,39,39173,Wood County (OH),"121,589","15,799","13,953","17,645","13,953 to 17,645",13,11.5,14.5,11.5 to 14.5,"26,285","3,348","2,731","3,965","2,731 to 3,965",12.7,10.4,15,10.4 to 15.0,"19,361","2,244","1,747","2,741","1,747 to 2,741",11.6,9,14.2,9.0 to 14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$52,578 ","$49,833 ","$55,323 ","$49,833 to $55,323"
2012,39,39173,Wood County (OH),"120,730","16,533","14,823","18,243","14,823 to 18,243",13.7,12.3,15.1,12.3 to 15.1,"26,142","3,289","2,719","3,859","2,719 to 3,859",12.6,10.4,14.8,10.4 to 14.8,"19,343","2,140","1,703","2,577","1,703 to 2,577",11.1,8.8,13.4,8.8 to 13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$50,534 ","$48,034 ","$53,034 ","$48,034 to $53,034"
2011,39,39173,Wood County (OH),"119,883","16,617","14,650","18,584","14,650 to 18,584",13.9,12.3,15.5,12.3 to 15.5,"26,377","3,681","3,024","4,338","3,024 to 4,338",14,11.5,16.5,11.5 to 16.5,"19,506","2,414","1,943","2,885","1,943 to 2,885",12.4,10,14.8,10.0 to 14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$50,624 ","$47,843 ","$53,405 ","$47,843 to $53,405"
2010,39,39173,Wood County (OH),"119,025","15,265","13,230","17,300","13,230 to 17,300",12.8,11.1,14.5,11.1 to 14.5,"26,754","3,707","3,024","4,390","3,024 to 4,390",13.9,11.3,16.5,11.3 to 16.5,"19,902","2,546","2,100","2,992","2,100 to 2,992",12.8,10.6,15,10.6 to 15.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$49,344 ","$46,358 ","$52,330 ","$46,358 to $52,330"
2009,39,39173,Wood County (OH),"118,629","16,031","14,436","17,626","14,436 to 17,626",13.5,12.2,14.9,12.2 to 14.9,"26,422","3,425","2,879","3,970","2,879 to 3,970",13,10.9,15,10.9 to 15.0,"19,408","2,157","1,783","2,531","1,783 to 2,531",11.1,9.2,13,9.2 to 13.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$50,727 ","$47,506 ","$53,949 ","$47,506 to $53,949"
